IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Location,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumeric,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified
NCD_PAA,Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%),text,EUR,Europe,Country,MDA,Republic of Moldova,Year,2022,true,Sex,Both sexes,SEX_BTSX,Age Group,18+  years,AGEGROUP_YEARS18-PLUS,,,,,,,10.77,,,6.91,,15.69,10.8 [6.9-15.7],,,EN,2024-06-20T20:00:00.000Z
NCD_PAA,Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%),text,AFR,Africa,Country,ERI,Eritrea,Year,2022,true,Sex,Both sexes,SEX_BTSX,Age Group,18+  years,AGEGROUP_YEARS18-PLUS,,,,,,,11.82,,,4.3,,23.93,11.8 [4.3-23.9],,,EN,2024-06-20T20:00:00.000Z
NCD_PAA,Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%),text,EUR,Europe,Country,DEU,Germany,Year,2022,true,Sex,Both sexes,SEX_BTSX,Age Group,18+  years,AGEGROUP_YEARS18-PLUS,,,,,,,11.98,,,9.2,,15.15,12.0 [9.2-15.1],,,EN,2024-06-20T20:00:00.000Z
NCD_PAA,Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%),text,EUR,Europe,Country,TKM,Turkmenistan,Year,2022,true,Sex,Both sexes,SEX_BTSX,Age Group,18+  years,AGEGROUP_YEARS18-PLUS,,,,,,,12.09,,,6.76,,19.09,12.1 [6.8-19.1],,,EN,2024-06-20T20:00:00.000Z
NCD_PAA,Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%),text,EUR,Europe,Country,DNK,Denmark,Year,2022,true,Sex,Both sexes,SEX_BTSX,Age Group,18+  years,AGEGROUP_YEARS18-PLUS,,,,,,,12.14,,,8.19,,16.94,12.1 [8.2-16.9],,,EN,2024-06-20T20:00:00.000Z
NCD_PAA,Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%),text,WPR,Western Pacific,Country,PNG,Papua New Guinea,Year,2022,true,Sex,Both sexes,SEX_BTSX,Age Group,18+  years,AGEGROUP_YEARS18-PLUS,,,,,,,12.47,,,3.84,,26.16,12.5 [3.8-26.2],,,EN,2024-06-20T20:00:00.000Z
NCD_PAA,Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%),text,EUR,Europe,Country,UKR,Ukraine,Year,2022,true,Sex,Both sexes,SEX_BTSX,Age Group,18+  years,AGEGROUP_YEARS18-PLUS,,,,,,,12.76,,,7.4,,19.53,12.8 [7.4-19.5],,,EN,2024-06-20T20:00:00.000Z
NCD_PAA,Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%),text,AFR,Africa,Country,SLE,Sierra Leone,Year,2022,true,Sex,Both sexes,SEX_BTSX,Age Group,18+  years,AGEGROUP_YEARS18-PLUS,,,,,,,12.96,,,4.93,,25.04,13.0 [4.9-25.0],,,EN,2024-06-20T20:00:00.000Z
NCD_PAA,Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%),text,WPR,Western Pacific,Country,KHM,Cambodia,Year,2022,true,Sex,Both sexes,SEX_BTSX,Age Group,18+  years,AGEGROUP_YEARS18-PLUS,,,,,,,13.27,,,8.91,,18.75,13.3 [8.9-18.7],,,EN,2024-06-20T20:00:00.000Z
NCD_PAA,Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%),text,WPR,Western Pacific,Country,WSM,Samoa,Year,2022,true,Sex,Both sexes,SEX_BTSX,Age Group,18+  years,AGEGROUP_YEARS18-PLUS,,,,,,,13.47,,,6.1,,23.55,13.5 [6.1-23.6],,,EN,2024-06-20T20:00:00.000Z
NCD_PAA,Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%),text,AFR,Africa,Country,MDG,Madagascar,Year,2022,true,Sex,Both sexes,SEX_BTSX,Age Group,18+  years,AGEGROUP_YEARS18-PLUS,,,,,,,13.59,,,4.19,,29.77,13.6 [4.2-29.8],,,EN,2024-06-20T20:00:00.000Z
NCD_PAA,Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%),text,EUR,Europe,Country,LUX,Luxembourg,Year,2022,true,Sex,Both sexes,SEX_BTSX,Age Group,18+  years,AGEGROUP_YEARS18-PLUS,,,,,,,13.92,,,9.67,,19.04,13.9 [9.7-19.0],,,EN,2024-06-20T20:00:00.000Z
