Alpha-3 code,Cancer code,Population code (ISO/UN),Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
AFG,41,004,4,Afghanistan,0,1163,-,-,1163,5.6,2.9,0.65
ALB,41,008,8,Albania,0,522,-,-,522,10.2,18.2,1.2
DZA,41,012,12,Algeria,0,7747,-,-,7747,17.1,17.1,2.0
AGO,41,024,24,Angola,0,805,-,-,805,4.6,2.3,0.50
AZE,41,031,31,Azerbaijan,0,1741,-,-,1741,14.2,16.9,1.7
ARG,41,032,32,Argentina,0,15863,-,-,15863,24.2,34.5,2.8
AUS,41,036,36,Australia,0,17088,-,-,17088,34.6,65.6,3.7
AUT,41,040,40,Austria,0,4539,-,-,4539,21.8,50.1,2.6
BHS,41,044,44,Bahamas,0,96,-,-,96,19.3,24.0,2.0
BHR,41,048,48,Bahrain,0,157,-,-,157,13.5,8.8,1.6
BGD,41,050,50,Bangladesh,0,5723,-,-,5723,3.6,3.4,0.40
ARM,41,051,51,Armenia,0,1127,-,-,1127,22.0,37.9,2.7
BRB,41,052,52,Barbados,0,148,-,-,148,24.7,51.4,2.8
BEL,41,056,56,Belgium,0,7949,-,-,7949,29.2,68.1,3.4
BTN,41,064,64,Bhutan,0,30,-,-,30,4.2,3.8,0.50
BOL,41,068,68,Bolivia (Plurinational State of),0,701,-,-,701,6.0,5.9,0.77
BIH,41,070,70,Bosnia Herzegovina,0,1855,-,-,1855,26.3,57.1,3.2
BWA,41,072,72,Botswana,0,89,-,-,89,4.5,3.7,0.50
BRA,41,076,76,Brazil,0,60118,-,-,60118,19.8,27.9,2.2
BLZ,41,084,84,Belize,0,21,-,-,21,6.0,5.1,0.66
SLB,41,090,90,Solomon Islands,0,19,-,-,19,4.6,2.6,0.55
BRN,41,096,96,Brunei Darussalam,0,153,-,-,153,31.8,34.4,3.6
BGR,41,100,100,Bulgaria,0,5086,-,-,5086,30.2,74.3,3.8
MMR,41,104,104,Myanmar,0,5552,-,-,5552,9.9,10.1,1.1
BDI,41,108,108,Burundi,0,359,-,-,359,6.4,2.8,0.74
BLR,41,112,112,Belarus,0,6160,-,-,6160,32.7,65.3,4.2
KHM,41,116,116,Cambodia,0,1726,-,-,1726,12.6,10.1,1.4
CMR,41,120,120,Cameroon,0,916,-,-,916,6.3,3.3,0.72
CAN,41,124,124,Canada,0,23725,-,-,23725,28.6,61.8,3.2
CPV,41,132,132,Cape Verde,0,28,-,-,28,5.5,4.9,0.65
CAF,41,140,140,Central African Republic,0,153,-,-,153,5.7,3.1,0.60
LKA,41,144,144,Sri Lanka,0,2540,-,-,2540,7.8,11.8,0.93
TCD,41,148,148,Chad,0,228,-,-,228,2.3,1.3,0.22
CHL,41,152,152,Chile,0,6778,-,-,6778,20.3,35.2,2.3
CHN,41,156,160,China,0,517106,-,-,517106,20.1,36.6,2.4
COL,41,170,170,Colombia,0,11163,-,-,11163,16.4,21.7,1.9
COM,41,174,174,Comoros,0,17,-,-,17,3.7,1.9,0.56
COG,41,178,178,"Congo, Republic of",0,168,-,-,168,4.8,2.9,0.56
COD,41,180,180,"Congo, Democratic Republic of",0,2961,-,-,2961,6.0,3.1,0.68
CRI,41,188,188,Costa Rica,0,1121,-,-,1121,14.3,21.6,1.6
HRV,41,191,191,Croatia,0,4190,-,-,4190,41.1,103.2,4.9
CUB,41,192,192,Cuba,0,5013,-,-,5013,19.9,44.3,2.3
CYP,41,196,196,Cyprus,0,568,-,-,568,24.1,46.4,2.7
CZE,41,203,203,Czechia,0,7568,-,-,7568,30.5,70.5,3.7
BEN,41,204,204,Benin,0,498,-,-,498,6.9,3.9,0.74
DNK,41,208,208,Denmark,0,6878,-,-,6878,48.1,117.9,5.6
DOM,41,214,214,Dominican Republic,0,1782,-,-,1782,14.7,16.1,1.7
ECU,41,218,218,Ecuador,0,2531,-,-,2531,12.4,14.0,1.4
SLV,41,222,222,El Salvador,0,692,-,-,692,8.7,10.6,0.90
GNQ,41,226,226,Equatorial Guinea,0,49,-,-,49,5.6,3.3,0.64
ETH,41,231,231,Ethiopia,0,6551,-,-,6551,9.0,5.4,1.0
ERI,41,232,232,Eritrea,0,169,-,-,169,6.9,4.6,0.76
EST,41,233,233,Estonia,0,1074,-,-,1074,31.8,81.3,3.8
FJI,41,242,242,Fiji,0,96,-,-,96,11.5,10.6,1.2
FIN,41,246,246,Finland,0,4020,-,-,4020,26.8,72.4,3.0
FRA,41,250,250,France (metropolitan),0,51636,-,-,51636,32.1,78.7,3.7
GUF,41,254,254,French Guyana,0,46,-,-,46,16.2,14.6,1.9
PYF,41,258,258,French Polynesia,0,48,-,-,48,11.9,16.9,1.3
DJI,41,262,262,Djibouti,0,58,-,-,58,6.4,5.7,0.74
GAB,41,266,266,Gabon,0,109,-,-,109,6.8,4.7,0.77
GEO,41,268,268,Georgia,0,1125,-,-,1125,14.5,28.4,1.8
GMB,41,270,270,The Republic of the Gambia,0,37,-,-,37,2.6,1.5,0.28
PSE,41,275,275,Gaza Strip and West Bank,0,553,-,-,553,18.3,10.4,2.2
DEU,41,276,276,Germany,0,62544,-,-,62544,25.7,74.6,3.0
GHA,41,288,288,Ghana,0,986,-,-,986,4.7,3.0,0.51
