Alpha-3 code,Cancer code,Population code (ISO/UN),Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
AFG,41_11_13_29_12_7_6_32_35,004,4,Afghanistan,0,6551,-,-,6551,32.7,16.1,3.7
ALB,41_11_13_29_12_7_6_32_35,008,8,Albania,0,2139,-,-,2139,39.5,74.6,4.4
DZA,41_11_13_29_12_7_6_32_35,012,12,Algeria,0,17951,-,-,17951,39.4,39.6,4.4
AGO,41_11_13_29_12_7_6_32_35,024,24,Angola,0,4680,-,-,4680,27.4,13.4,3.1
AZE,41_11_13_29_12_7_6_32_35,031,31,Azerbaijan,0,6654,-,-,6654,54.5,64.6,6.3
ARG,41_11_13_29_12_7_6_32_35,032,32,Argentina,0,41529,-,-,41529,64.7,90.3,7.3
AUS,41_11_13_29_12_7_6_32_35,036,36,Australia,0,39598,-,-,39598,82.5,151.9,8.8
AUT,41_11_13_29_12_7_6_32_35,040,40,Austria,0,12454,-,-,12454,61.7,137.4,7.1
BHS,41_11_13_29_12_7_6_32_35,044,44,Bahamas,0,237,-,-,237,47.6,59.2,5.4
BHR,41_11_13_29_12_7_6_32_35,048,48,Bahrain,0,362,-,-,362,30.1,20.3,3.5
BGD,41_11_13_29_12_7_6_32_35,050,50,Bangladesh,0,56196,-,-,56196,35.7,33.5,4.0
ARM,41_11_13_29_12_7_6_32_35,051,51,Armenia,0,3284,-,-,3284,65.2,110.5,7.6
BRB,41_11_13_29_12_7_6_32_35,052,52,Barbados,0,317,-,-,317,54.2,110.1,6.2
BEL,41_11_13_29_12_7_6_32_35,056,56,Belgium,0,18314,-,-,18314,70.5,157.0,7.9
BTN,41_11_13_29_12_7_6_32_35,064,64,Bhutan,0,261,-,-,261,36.4,33.1,4.4
BOL,41_11_13_29_12_7_6_32_35,068,68,Bolivia (Plurinational State of),0,4929,-,-,4929,39.1,41.1,4.4
BIH,41_11_13_29_12_7_6_32_35,070,70,Bosnia Herzegovina,0,4315,-,-,4315,61.9,132.8,7.4
BWA,41_11_13_29_12_7_6_32_35,072,72,Botswana,0,338,-,-,338,18.5,13.9,2.2
BRA,41_11_13_29_12_7_6_32_35,076,76,Brazil,0,172874,-,-,172874,58.7,80.3,6.3
BLZ,41_11_13_29_12_7_6_32_35,084,84,Belize,0,92,-,-,92,26.5,22.3,2.9
SLB,41_11_13_29_12_7_6_32_35,090,90,Solomon Islands,0,153,-,-,153,32.3,21.2,3.3
BRN,41_11_13_29_12_7_6_32_35,096,96,Brunei Darussalam,0,321,-,-,321,67.6,72.1,7.7
BGR,41_11_13_29_12_7_6_32_35,100,100,Bulgaria,0,10261,-,-,10261,64.8,149.9,7.6
MMR,41_11_13_29_12_7_6_32_35,104,104,Myanmar,0,26565,-,-,26565,46.7,48.1,5.2
BDI,41_11_13_29_12_7_6_32_35,108,108,Burundi,0,1788,-,-,1788,31.4,14.2,3.6
BLR,41_11_13_29_12_7_6_32_35,112,112,Belarus,0,15442,-,-,15442,88.2,163.7,10.4
KHM,41_11_13_29_12_7_6_32_35,116,116,Cambodia,0,7561,-,-,7561,54.1,44.0,5.8
CMR,41_11_13_29_12_7_6_32_35,120,120,Cameroon,0,3142,-,-,3142,20.7,11.3,2.3
CAN,41_11_13_29_12_7_6_32_35,124,124,Canada,0,61718,-,-,61718,77.2,160.8,8.4
CPV,41_11_13_29_12_7_6_32_35,132,132,Cape Verde,0,99,-,-,99,20.0,17.4,2.3
CAF,41_11_13_29_12_7_6_32_35,140,140,Central African Republic,0,573,-,-,573,22.0,11.4,2.4
LKA,41_11_13_29_12_7_6_32_35,144,144,Sri Lanka,0,8658,-,-,8658,27.5,40.1,3.1
TCD,41_11_13_29_12_7_6_32_35,148,148,Chad,0,3110,-,-,3110,35.0,17.9,4.0
CHL,41_11_13_29_12_7_6_32_35,152,152,Chile,0,22240,-,-,22240,67.4,115.5,7.4
CHN,41_11_13_29_12_7_6_32_35,156,160,China,0,2187325,-,-,2187325,91.7,154.9,9.9
COL,41_11_13_29_12_7_6_32_35,170,170,Colombia,0,35813,-,-,35813,53.2,69.5,5.8
COM,41_11_13_29_12_7_6_32_35,174,174,Comoros,0,124,-,-,124,22.9,13.7,2.7
COG,41_11_13_29_12_7_6_32_35,178,178,"Congo, Republic of",0,692,-,-,692,19.2,11.9,2.1
COD,41_11_13_29_12_7_6_32_35,180,180,"Congo, Democratic Republic of",0,11773,-,-,11773,23.5,12.4,2.6
CRI,41_11_13_29_12_7_6_32_35,188,188,Costa Rica,0,4357,-,-,4357,57.3,84.1,6.1
HRV,41_11_13_29_12_7_6_32_35,191,191,Croatia,0,8966,-,-,8966,95.0,220.9,10.7
CUB,41_11_13_29_12_7_6_32_35,192,192,Cuba,0,11386,-,-,11386,48.3,100.7,5.4
CYP,41_11_13_29_12_7_6_32_35,196,196,Cyprus,0,1788,-,-,1788,86.2,146.2,8.8
CZE,41_11_13_29_12_7_6_32_35,203,203,Czechia,0,18435,-,-,18435,77.7,171.7,8.9
BEN,41_11_13_29_12_7_6_32_35,204,204,Benin,0,2191,-,-,2191,30.6,17.1,3.2
DNK,41_11_13_29_12_7_6_32_35,208,208,Denmark,0,12920,-,-,12920,95.0,221.4,10.6
DOM,41_11_13_29_12_7_6_32_35,214,214,Dominican Republic,0,4895,-,-,4895,40.1,44.3,4.5
ECU,41_11_13_29_12_7_6_32_35,218,218,Ecuador,0,9649,-,-,9649,47.0,53.3,4.9
SLV,41_11_13_29_12_7_6_32_35,222,222,El Salvador,0,2615,-,-,2615,32.4,39.9,3.3
GNQ,41_11_13_29_12_7_6_32_35,226,226,Equatorial Guinea,0,188,-,-,188,20.8,12.6,2.3
ETH,41_11_13_29_12_7_6_32_35,231,231,Ethiopia,0,19887,-,-,19887,27.3,16.5,3.1
ERI,41_11_13_29_12_7_6_32_35,232,232,Eritrea,0,607,-,-,607,25.4,16.6,2.8
EST,41_11_13_29_12_7_6_32_35,233,233,Estonia,0,2552,-,-,2552,80.1,193.1,9.4
FJI,41_11_13_29_12_7_6_32_35,242,242,Fiji,0,365,-,-,365,41.6,40.1,4.4
FIN,41_11_13_29_12_7_6_32_35,246,246,Finland,0,9502,-,-,9502,66.7,171.1,7.4
FRA,41_11_13_29_12_7_6_32_35,250,250,France (metropolitan),0,122538,-,-,122538,83.8,186.8,9.3
GUF,41_11_13_29_12_7_6_32_35,254,254,French Guyana,0,138,-,-,138,48.5,43.9,5.4
PYF,41_11_13_29_12_7_6_32_35,258,258,French Polynesia,0,234,-,-,234,60.4,82.4,6.7
DJI,41_11_13_29_12_7_6_32_35,262,262,Djibouti,0,192,-,-,192,22.3,18.9,2.6
GAB,41_11_13_29_12_7_6_32_35,266,266,Gabon,0,441,-,-,441,26.9,18.9,2.9
GEO,41_11_13_29_12_7_6_32_35,268,268,Georgia,0,3561,-,-,3561,48.7,89.7,5.7
GMB,41_11_13_29_12_7_6_32_35,270,270,The Republic of the Gambia,0,409,-,-,409,27.5,16.0,2.9
PSE,41_11_13_29_12_7_6_32_35,275,275,Gaza Strip and West Bank,0,1487,-,-,1487,46.8,27.8,5.2
DEU,41_11_13_29_12_7_6_32_35,276,276,Germany,0,151414,-,-,151414,66.9,180.5,7.6
