country_name,country_code,obesity_value,obesity_high,obesity_low,activity_value,activity_high,activity_low,gdp_per_capita_2022,asr_world,new_cases,crude_rate
Afghanistan,AFG,19.22,22.2,16.33,66.64,76.96000000000001,55.78,357.261152798144,5.6,1163,2.9
Albania,ALB,23.36,26.48,20.43,75.72,90.95,54.11,7756.96188744253,10.2,522,18.2
Algeria,DZA,23.81,27.25,20.51,70.96000000000001,80.97,60.12,4960.30334332888,17.1,7747,17.1
Angola,AGO,11.47,16.03,7.63,82.67,94.51,63.58,3682.1131513698,4.6,805,2.3
Azerbaijan,AZE,26.55,29.97,23.21,76.08,84.68,65.52000000000001,7770.594223351,14.2,1741,16.9
Argentina,ARG,35.36,38.15,32.56,61.49,71.53999999999999,51.06,13962.1894087223,24.2,15863,34.5
Australia,AUS,30.24,33.22,27.44,74.53,80.56,67.78,65169.5191118657,34.6,17088,65.6
Austria,AUT,15.37,18.31,12.67,80.24,84.51,75.64,52336.7725223758,21.8,4539,50.1
Bahamas,BHS,47.26,51.31,43.42,62.83,73.07,52.41,34957.1613279737,19.3,96,24.0
Bahrain,BHR,36.13,43.3,29.29,61.39,80.61,39.35,30470.5219276023,13.5,157,8.8
Bangladesh,BGD,5.3,6.21,4.49,79.7,85.67,72.78999999999999,2716.48592780431,3.6,5723,3.4
Armenia,ARM,24.51,27.92,21.27,73.42,83.71000000000001,61.54,6571.97445545099,22.0,1127,37.9
Barbados,BRB,38.02,44.26,32.18,55.97,74.94,36.59,24387.0387293761,24.7,148,51.4
Belgium,BEL,20.03,23.16,17.12,74.59,80.81,67.71000000000001,50605.7496677086,29.2,7949,68.1
Bhutan,BTN,12.18,14.24,10.24,90.09,94.09,85.01,3711.32767981591,4.2,30,3.8
Bolivia (Plurinational State of),BOL,28.68,32.11,25.43,77.43,85.32,68.14,4219.46113742445,6.0,701,5.9
Bosnia Herzegovina,BIH,21.19,26.43,16.37,78.93,92.33,59.86,7655.59421024383,26.3,1855,57.1
Botswana,BWA,18.29,22.17,14.74,77.72,87.61,65.85,8328.7090572666,4.5,89,3.7
Brazil,BRA,28.14,30.64,25.66,59.6,68.57,50.24,9281.33282136864,19.8,60118,27.9
Belize,BLZ,42.32,46.71,37.91,58.48,79.16,36.25,7068.21728043145,6.0,21,5.1
Solomon Islands,SLB,22.6,26.86,18.58,82.53999999999999,90.77,72.05,1877.78104490956,4.6,19,2.6
Brunei Darussalam,BRN,31.71,36.09,27.41,67.47,79.21000000000001,54.31,36632.9280952155,31.8,153,34.4
Bulgaria,BGR,20.59,23.09,18.2,67.72,75.43,59.52,13999.1949530956,30.2,5086,74.3
Myanmar,MMR,7.43,9.41,5.69,78.0,87.21000000000001,66.5,1158.05005055976,9.9,5552,10.1
Burundi,BDI,5.02,8.37,2.9,85.73,95.9,69.34,302.992505263552,6.4,359,2.8
Belarus,BLR,21.37,23.59,19.21,85.98,90.68,80.16,7994.64806074889,32.7,6160,65.3
Cambodia,KHM,4.36,5.2,3.65,86.73,91.09,81.25,2325.03050040841,12.6,1726,10.1
Cameroon,CMR,14.88,17.48,12.52,81.19,93.76,62.51,1604.87726954895,6.3,916,3.3
Canada,CAN,26.23,28.93,23.54,62.82,69.95,55.23,56256.8007264015,28.6,23725,61.8
Cape Verde,CPV,15.77,18.13,13.61,68.77,77.8,58.91,4323.31362032709,5.5,28,4.9
Central African Republic,CAF,9.3,12.16,6.86,83.47,94.77,65.53,467.359825026238,5.7,153,3.1
Sri Lanka,LKA,10.56,12.28,8.99,62.82,71.52,54.2,3342.63650253855,7.8,2540,11.8
Chad,TCD,6.69,9.64,4.46,82.15,93.37,65.16,966.036468278568,2.3,228,1.3
Chile,CHL,38.91,43.01,34.82,61.79,71.49,51.42,15405.6165774073,20.3,6778,35.2
China,CHN,8.28,9.4,7.26,76.17,82.33,69.21000000000001,12970.6056414327,20.1,517106,36.6
Colombia,COL,23.62,26.22,21.09,65.57,85.18,42.91,6680.44506854481,16.4,11163,21.7
Comoros,COM,16.28,20.05,12.85,82.8,92.36,69.05,1465.479642862,3.7,17,1.9
"Congo, Republic of",COG,8.54,11.22,6.22,84.03,95.14,66.62,2620.83804267402,4.8,168,2.9
